Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites
1; 1; mcts; (2,3) -> (3, 4); 0; 13.142975568771362; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.27847957611083984; 12; 12
2; 1; mcts; (3,4) -> (4, 5); 0; 14.963223934173584; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.5840039253234863; 12; 12
3; 1; mcts; (1,2) -> (2, 3); 0; 14.736978769302368; 12; 12
4; 0; minimax; (7,6) -> (6, 7); 0; 0.8209042549133301; 12; 12
4; 1; mcts; (0,1) -> (1, 2); 0; 14.190857410430908; 12; 12
5; 0; minimax; (5,6) -> (3, 4); 1; 0.38486552238464355; 12; 12
5; 1; mcts; (2,1) -> (3, 0); 0; 8.96259069442749; 12; 11
6; 0; minimax; (6,7) -> (5, 6); 0; 0.4125678539276123; 12; 11
6; 1; mcts; (2,3) -> (4, 5); 1; 9.290698289871216; 12; 11
7; 0; minimax; (5,6) -> (3, 4); 1; 0.3188762664794922; 11; 11
7; 1; mcts; (2,5) -> (3, 6); 0; 9.18480110168457; 11; 10
8; 0; minimax; (4,7) -> (2, 5); 1; 0.7345752716064453; 11; 10
8; 1; mcts; (2,7) -> (3, 6); 0; 9.441601276397705; 11; 9
9; 0; minimax; (6,5) -> (5, 6); 0; 0.3139216899871826; 11; 9
9; 1; mcts; (1,2) -> (2, 3); 0; 7.742327928543091; 11; 9
10; 0; minimax; (5,6) -> (4, 5); 0; 0.3991713523864746; 11; 9
10; 1; mcts; (3,0) -> (4, 1); 0; 7.5366926193237305; 11; 9
11; 0; minimax; (5,2) -> (3, 0); 1; 0.36034488677978516; 11; 9
11; 1; mcts; (1,6) -> (2, 7); 0; 6.771395683288574; 11; 8
12; 0; minimax; (7,4) -> (6, 5); 0; 0.38643407821655273; 11; 8
12; 1; mcts; (1,0) -> (2, 1); 0; 6.288090229034424; 11; 8
13; 0; minimax; (3,4) -> (1, 2); 1; 0.40577125549316406; 11; 8
13; 1; mcts; (1,4) -> (2, 3); 0; 6.56667160987854; 11; 7
14; 0; minimax; (6,5) -> (5, 6); 0; 0.5281808376312256; 11; 7
14; 1; mcts; (0,3) -> (1, 4); 0; 5.769788503646851; 11; 7
15; 0; minimax; (2,5) -> (0, 3); 1; 0.6483211517333984; 11; 7
15; 1; mcts; (0,7) -> (1, 6); 0; 5.784097909927368; 11; 6
16; 0; minimax; (5,6) -> (4, 7); 0; 0.4992239475250244; 11; 6
16; 1; mcts; (2,1) -> (3, 2); 0; 6.4657862186431885; 11; 6
17; 0; minimax; (4,7) -> (2, 5); 1; 0.701676607131958; 11; 6
17; 1; mcts; (1,6) -> (3, 4); 1; 4.95728325843811; 11; 5
18; 0; minimax; (5,4) -> (4, 3); 0; 0.3847167491912842; 10; 5
18; 1; mcts; (0,5) -> (1, 6); 0; 4.537222385406494; 10; 5
19; 0; minimax; (4,3) -> (2, 5); 1; 0.5611517429351807; 10; 5
19; 1; mcts; (3,2) -> (4, 1); 0; 5.722522258758545; 10; 4
20; 0; minimax; (5,0) -> (1, 4); 2; 1.0288403034210205; 10; 4
20; 1; mcts; (2,7) -> (3, 6); 0; 4.43921971321106; 10; 2
21; 0; minimax; (4,5) -> (2, 7); 1; 0.6170189380645752; 10; 2
21; 1; mcts; (1,6) -> (3, 4); 1; 3.605752468109131; 10; 1
22; 0; minimax; (6,3) -> (5, 4); 0; 0.2563016414642334; 9; 1
22; 1; mcts; (3,4) -> (4, 5); 0; 3.038921356201172; 9; 1
23; 0; minimax; (1,4) -> (0, 5); 0; 0.24918389320373535; 9; 1
23; 1; mcts; (4,5) -> (5, 6); 0; 3.4342269897460938; 9; 1
24; 0; minimax; (2,7) -> (1, 6); 0; 0.5433039665222168; 9; 1
24; 1; mcts; (5,6) -> (6, 5); 0; 3.671653985977173; 9; 1
25; 0; minimax; (7,2) -> (6, 3); 0; 0.42545390129089355; 9; 1
25; 1; mcts; (6,5) -> (7, 4); 0; 3.567816734313965; 9; 1
26; 0; minimax; (6,3) -> (5, 2); 0; 0.40937232971191406; 9; 1
26; 1; mcts; (7,4) -> (6, 3); 0; 2.853907823562622; 9; 1
27; 0; minimax; (6,1) -> (5, 0); 0; 0.5486927032470703; 9; 1
27; 1; mcts; (6,3) -> (7, 4); 0; 3.5555717945098877; 9; 1
28; 0; minimax; (7,0) -> (6, 1); 0; 0.45955562591552734; 9; 1
28; 1; mcts; (7,4) -> (6, 3); 0; 3.0112528800964355; 9; 1
29; 0; minimax; (5,4) -> (4, 5); 0; 0.519927978515625; 9; 1
29; 1; mcts; (6,3) -> (4, 1); 1; 3.346574306488037; 9; 1
30; 0; minimax; (1,6) -> (0, 7); 0; 0.2343919277191162; 8; 1
30; 1; mcts; (4,1) -> (3, 2); 0; 3.339789628982544; 8; 1
31; 0; minimax; (5,0) -> (4, 1); 0; 0.3759889602661133; 8; 1
31; 1; mcts; (3,2) -> (5, 0); 1; 2.3739571571350098; 8; 1
32; 0; minimax; (1,2) -> (0, 1); 0; 0.2473313808441162; 7; 1
32; 1; mcts; (5,0) -> (7, 2); 1; 2.61027455329895; 7; 1
33; 0; minimax; (4,5) -> (3, 6); 0; 0.269942045211792; 6; 1
33; 1; mcts; (7,2) -> (6, 1); 0; 2.740340232849121; 6; 1
34; 0; minimax; (3,6) -> (2, 7); 0; 0.33786582946777344; 6; 1
34; 1; mcts; (6,1) -> (7, 0); 0; 2.7009830474853516; 6; 1
35; 0; minimax; (3,0) -> (2, 1); 0; 0.18806171417236328; 6; 1
35; 1; mcts; (7,0) -> (6, 1); 0; 2.651160955429077; 6; 1
36; 0; minimax; (2,7) -> (1, 6); 0; 0.16770052909851074; 6; 1
36; 1; mcts; (6,1) -> (7, 2); 0; 2.1844663619995117; 6; 1
37; 0; minimax; (2,1) -> (1, 2); 0; 0.07440328598022461; 6; 1
37; 1; mcts; (7,2) -> (6, 3); 0; 2.1952321529388428; 6; 1
38; 0; minimax; (0,5) -> (1, 4); 0; 0.024049043655395508; 6; 1
38; 1; mcts; (6,3) -> (7, 2); 0; 2.2223525047302246; 6; 1
39; 0; minimax; (1,6) -> (0, 5); 0; 0.053537845611572266; 6; 1
39; 1; mcts; (7,2) -> (6, 1); 0; 2.6176416873931885; 6; 1
40; 0; minimax; (1,4) -> (2, 5); 0; 0.07967352867126465; 6; 1
40; 1; mcts; (6,1) -> (7, 2); 0; 2.3083066940307617; 6; 1
41; 0; minimax; (2,5) -> (3, 6); 0; 0.16342687606811523; 6; 1
41; 1; mcts; (7,2) -> (6, 3); 0; 2.2898364067077637; 6; 1
42; 0; minimax; (3,6) -> (4, 5); 0; 0.1955423355102539; 6; 1
42; 1; mcts; (6,3) -> (5, 2); 0; 2.304711103439331; 6; 1
43; 0; minimax; (4,5) -> (5, 4); 0; 0.22229671478271484; 6; 1
43; 1; mcts; (5,2) -> (6, 1); 0; 2.6930572986602783; 6; 1
44; 0; minimax; (5,4) -> (6, 3); 0; 0.3121790885925293; 6; 1
44; 1; mcts; (6,1) -> (7, 0); 0; 2.7408509254455566; 6; 1
45; 0; minimax; (6,3) -> (7, 4); 0; 0.21164822578430176; 6; 1
45; 1; mcts; (7,0) -> (6, 1); 0; 3.0688862800598145; 6; 1
46; 0; minimax; (7,4) -> (6, 3); 0; 0.2564551830291748; 6; 1
46; 1; mcts; (6,1) -> (5, 0); 0; 3.998861074447632; 6; 1
47; 0; minimax; (6,3) -> (7, 4); 0; 0.48321056365966797; 6; 1
47; 1; mcts; (5,0) -> (4, 1); 0; 4.067336559295654; 6; 1
48; 0; minimax; (7,4) -> (6, 3); 0; 0.24082326889038086; 6; 1
48; 1; mcts; (4,1) -> (3, 2); 0; 3.2351508140563965; 6; 1
49; 0; minimax; (6,3) -> (7, 4); 0; 0.3726036548614502; 6; 1
