Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,3) -> (3, 4); 0; 3.4804153442382812; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.4506032466888428; 12; 12
2; 1; mcts; (1,4) -> (2, 3); 0; 4.007760286331177; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.6110587120056152; 12; 12
3; 1; mcts; (0,5) -> (1, 4); 0; 3.3494198322296143; 12; 12
4; 0; minimax; (7,6) -> (6, 7); 0; 0.32958292961120605; 12; 12
4; 1; mcts; (2,1) -> (3, 2); 0; 2.9023807048797607; 12; 12
5; 0; minimax; (5,6) -> (4, 5); 0; 0.3099081516265869; 12; 12
5; 1; mcts; (1,0) -> (2, 1); 0; 3.2585537433624268; 12; 12
6; 0; minimax; (6,7) -> (5, 6); 0; 0.29309535026550293; 12; 12
6; 1; mcts; (3,4) -> (4, 3); 0; 3.1287310123443604; 12; 12
7; 0; minimax; (5,2) -> (3, 4); 1; 0.12421798706054688; 12; 12
7; 1; mcts; (3,2) -> (4, 1); 0; 2.803820848464966; 12; 11
8; 0; minimax; (6,3) -> (5, 2); 0; 0.23925542831420898; 12; 11
8; 1; mcts; (2,1) -> (3, 2); 0; 2.601017951965332; 12; 11
9; 0; minimax; (5,4) -> (4, 3); 0; 0.1984250545501709; 12; 11
9; 1; mcts; (2,7) -> (3, 6); 0; 2.6720519065856934; 12; 11
10; 0; minimax; (5,2) -> (3, 0); 1; 0.17249393463134766; 12; 11
10; 1; mcts; (3,6) -> (5, 4); 1; 2.650459051132202; 12; 10
11; 0; minimax; (7,4) -> (6, 3); 0; 0.3090529441833496; 11; 10
11; 1; mcts; (1,2) -> (2, 1); 0; 2.7035789489746094; 11; 10
12; 0; minimax; (6,3) -> (4, 5); 1; 0.27028894424438477; 11; 10
12; 1; mcts; (3,2) -> (7, 6); 2; 2.4947152137756348; 11; 9
13; 0; minimax; (4,7) -> (3, 6); 0; 0.18529367446899414; 9; 9
13; 1; mcts; (2,5) -> (4, 3); 1; 2.429593086242676; 9; 9
14; 0; minimax; (3,6) -> (2, 7); 0; 0.29665517807006836; 8; 9
14; 1; mcts; (0,1) -> (1, 0); 0; 2.478809118270874; 8; 9
15; 0; minimax; (6,1) -> (5, 2); 0; 0.3060920238494873; 8; 9
15; 1; mcts; (0,3) -> (1, 2); 0; 2.5039868354797363; 8; 9
16; 0; minimax; (7,2) -> (6, 3); 0; 0.3250246047973633; 8; 9
16; 1; mcts; (4,3) -> (6, 1); 1; 2.430177927017212; 8; 9
17; 0; minimax; (7,0) -> (5, 2); 1; 0.20835304260253906; 7; 9
17; 1; mcts; (2,3) -> (3, 4); 0; 2.1835286617279053; 7; 8
18; 0; minimax; (4,5) -> (2, 3); 1; 0.21830987930297852; 7; 8
18; 1; mcts; (1,2) -> (3, 4); 1; 2.0148630142211914; 7; 7
19; 0; minimax; (3,0) -> (1, 2); 1; 0.20392370223999023; 6; 7
19; 1; mcts; (7,6) -> (6, 5); 0; 2.3151581287384033; 6; 6
20; 0; minimax; (2,7) -> (0, 5); 1; 0.29334115982055664; 6; 6
20; 1; mcts; (0,7) -> (1, 6); 0; 2.04890513420105; 6; 5
21; 0; minimax; (1,2) -> (0, 3); 0; 0.39751100540161133; 6; 5
21; 1; mcts; (6,5) -> (7, 4); 0; 2.071352005004883; 6; 5
22; 0; minimax; (6,3) -> (5, 4); 0; 0.47841310501098633; 6; 5
22; 1; mcts; (1,0) -> (2, 1); 0; 1.9585039615631104; 6; 5
23; 0; minimax; (5,6) -> (4, 7); 0; 0.6366708278656006; 6; 5
23; 1; mcts; (3,4) -> (4, 3); 0; 2.4367265701293945; 6; 5
24; 0; minimax; (5,4) -> (1, 0); 2; 0.4120924472808838; 6; 5
24; 1; mcts; (1,6) -> (2, 5); 0; 1.6793186664581299; 6; 3
